ContigID,Superkingdom,Realm,Kingdom,Phylum,Class,Order,Family,Subfamily,Genus,Species,Isolate
KU697903.1,Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Baculoviridae,Unclassified Baculoviridae,Alphabaculovirus,Autographa californica multiple nucleopolyhedrovirus,Mutant Autographa californica nucleopolyhedrovirus isolate vAcRev-2
KP747440.1,Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Baculoviridae,Unclassified Baculoviridae,Alphabaculovirus,Dasychira pudibunda nucleopolyhedrovirus,Dasychira pudibunda nucleopolyhedrovirus isolate ML1
KM609482.1,Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Baculoviridae,Unclassified Baculoviridae,Alphabaculovirus,Autographa californica multiple nucleopolyhedrovirus,Autographa californica multiple nucleopolyhedrovirus isolate WP10
KM667940.1,Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Baculoviridae,Unclassified Baculoviridae,Alphabaculovirus,Autographa californica multiple nucleopolyhedrovirus,Autographa californica nucleopolyhedrovirus strain E2
JX560539.1,Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Baculoviridae,Unclassified Baculoviridae,Alphabaculovirus,Chrysodeixis chalcites nucleopolyhedrovirus,Chrysodeixis chalcites nucleopolyhedrovirus genotype ChchSNPV-TF1-C
KF022001.1,Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Baculoviridae,Unclassified Baculoviridae,Alphabaculovirus,Autographa californica multiple nucleopolyhedrovirus,Autographa californica nucleopolyhedrovirus transgenic
JA902047.1,Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Baculoviridae,Unclassified Baculoviridae,Unclassified Baculoviridae,Unclassified Baculoviridae,Sequence 6 from Patent WO2013030165
JN674672.1,Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Baculoviridae,Unclassified Baculoviridae,Alphabaculovirus,Autographa californica multiple nucleopolyhedrovirus,
JA222069.1,Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Baculoviridae,Unclassified Baculoviridae,Alphabaculovirus,Autographa californica multiple nucleopolyhedrovirus,Sequence 1 from Patent EP2292781
JA223504.1,Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Baculoviridae,Unclassified Baculoviridae,Alphabaculovirus,Autographa californica multiple nucleopolyhedrovirus,Sequence 1 from Patent WO2011020710
DJ417502.1,Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Baculoviridae,Unclassified Baculoviridae,Unclassified Baculoviridae,Unclassified Baculoviridae,
DJ417503.1,Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Baculoviridae,Unclassified Baculoviridae,Unclassified Baculoviridae,Unclassified Baculoviridae,
DI033711.1,Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Baculoviridae,Unclassified Baculoviridae,Alphabaculovirus,Autographa californica multiple nucleopolyhedrovirus,
DI130579.1,Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Baculoviridae,Unclassified Baculoviridae,Alphabaculovirus,Autographa californica multiple nucleopolyhedrovirus,
DQ345451.1,Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Baculoviridae,Unclassified Baculoviridae,Alphabaculovirus,Autographa californica multiple nucleopolyhedrovirus,Rachiplusia nu MNPV
DQ457003.1,Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Baculoviridae,Unclassified Baculoviridae,Alphabaculovirus,Autographa californica multiple nucleopolyhedrovirus,Plutella xylostella multiple nucleopolyhedrovirus isolate CL3
BD442690.1,Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Baculoviridae,Unclassified Baculoviridae,Alphabaculovirus,Autographa californica multiple nucleopolyhedrovirus,
BD442851.1,Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Baculoviridae,Unclassified Baculoviridae,Alphabaculovirus,Autographa californica multiple nucleopolyhedrovirus,
CS162761.1,Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Baculoviridae,Unclassified Baculoviridae,Unclassified Baculoviridae,Unclassified Baculoviridae,Sequence 1 from Patent WO2005085456
CS162762.1,Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Baculoviridae,Unclassified Baculoviridae,Unclassified Baculoviridae,Unclassified Baculoviridae,Sequence 2 from Patent WO2005085456
AX473355.1,Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Baculoviridae,Unclassified Baculoviridae,Alphabaculovirus,Autographa californica multiple nucleopolyhedrovirus,Sequence 5 from Patent WO0213862
AX474116.1,Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Baculoviridae,Unclassified Baculoviridae,Alphabaculovirus,Autographa californica multiple nucleopolyhedrovirus,Sequence 5 from Patent WO0213861
AY096243.1,Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Baculoviridae,Unclassified Baculoviridae,Betabaculovirus,Cryptophlebia leucotreta granulovirus,Cryptophlebia leucotreta granulovirus isolate CV4 
U75930.2,Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Baculoviridae,Unclassified Baculoviridae,Alphabaculovirus,Orgyia pseudotsugata multiple nucleopolyhedrovirus,Orgyia pseudotsugata MNPV
AH003102.2,Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Baculoviridae,Unclassified Baculoviridae,Alphabaculovirus,Autographa californica multiple nucleopolyhedrovirus,
L22858.1,Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Baculoviridae,Unclassified Baculoviridae,Alphabaculovirus,Autographa californica multiple nucleopolyhedrovirus,Autographa californica nucleopolyhedrovirus clone C6
M75679.1,Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Baculoviridae,Unclassified Baculoviridae,Alphabaculovirus,Autographa californica multiple nucleopolyhedrovirus,Autographa californica nuclear polyhedrosis virus 
M96762.1,Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Baculoviridae,Unclassified Baculoviridae,Alphabaculovirus,Autographa californica multiple nucleopolyhedrovirus,Autographa californica nuclear polyhedrosis virus strain C6
D00700.1,Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Unclassified Viruses,Baculoviridae,Unclassified Baculoviridae,Alphabaculovirus,Autographa californica multiple nucleopolyhedrovirus,
