contig_id,Superkingdom,Realm,Kingdom,Phylum,Class,Order,Family,Subfamily,Genus,Species
k127_14143811,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales
k127_8579181,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Twortvirinae,Silviavirus,Staphylococcus phage Stau2
k127_2588255,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales
k127_4304055,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae
k127_10295122,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Staphylococcus phage SPbeta-like
k127_12430940,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales
k127_13288337,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Lactococcus phage TP901-1
k127_881500,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Twortvirinae,Sepunavirus,Staphylococcus phage phiIPLA-C1C
k127_2592458,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Ceduvovirus,Unclassified Ceduvovirus,Lactococcus phage CHPC1242
k127_6015792,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Ceduvovirus,Unclassified Ceduvovirus,Lactococcus phage vB_Llc_bIBBE1
k127_453792,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales
k127_5591535,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales
k127_2597079,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Staphylococcus phage StB27
k127_458634,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Streptococcus phage Javan88
k127_5169055,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Phietavirus,Staphylococcus virus IPLA5
k127_3027410,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Phietavirus,Staphylococcus virus IPLA7
k127_1743349,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Phietavirus,Staphylococcus virus IPLA7
k127_3462963,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Uncultured Caudovirales phage
k127_2176764,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Phietavirus,Staphylococcus phage DW2
k127_3893754,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Mudcatvirus,Unclassified Mudcatvirus,Arthrobacter phage Mudcat
k127_5600450,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Uncultured Caudovirales phage
k127_1323953,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Staphylococcus phage StB20-like
k127_12448622,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Uncultured Caudovirales phage
k127_9889522,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Streptococcus phage Javan112
k127_9029458,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Staphylococcus phage IME1323_01
k127_36540,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Phietavirus,Unclassified Phietavirus
k127_5178503,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales
k127_7749933,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales
k127_11607162,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Unclassified Podoviridae,Fipvunavirus,Flavobacterium phage FPSV-S29
k127_7325932,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Staphylococcus phage PMBT9
k127_9893543,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales
k127_9034137,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Phietavirus,Staphylococcus virus 88
k127_15041677,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Staphylococcus phage SpT152
k127_40423,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Lactococcus phage 63301
k127_7755313,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Uncultured Caudovirales phage
k127_8610260,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Sextaecvirus,Staphylococcus phage PMBT8
k127_12036208,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Twortvirinae,Sepunavirus,Staphylococcus phage phiIPLA-C1C
k127_7760262,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Uncultured Caudovirales phage
k127_13754931,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Staphylococcus phage SAP090D
k127_3912894,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Unclassified Podoviridae,Andhravirus,Staphylococcus phage St 134
k127_13755897,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Siphoviridae,Sextaecvirus,Staphylococcus virus Sextaec
k127_3483275,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Unclassified Podoviridae,Unclassified Podoviridae,Unclassified Podoviridae
k127_4343909,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Staphylococcus phage StB20
k127_479019,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Staphylococcus phage SPbeta-like
k127_910599,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Unclassified Myoviridae,Unclassified Myoviridae,Staphylococcus phage Machias
k127_479928,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales
k127_47006,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Rakietenvirinae,Andhravirus,Staphylococcus phage JBug18
k127_911284,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Sextaecvirus,Staphylococcus virus Sextaec
k127_9484408,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Staphylococcus phage IME-SA4
k127_913684,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales
k127_10345168,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Staphylococcus phage StB27
k127_9051631,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Unclassified Myoviridae,,Fusobacterium phage Funu2
k127_2203819,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Ceduovirus,Lactococcus phage vB_Llc_bIBBE1
k127_13335670,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Phietavirus,Staphylococcus virus vB_SepS_E72
k127_2628860,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Staphylococcus phage IME-SA4
k127_7774383,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales
k127_6481697,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Uncultured Caudovirales phage
k127_4355176,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Streptococcus phage Javan370
k127_3927309,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Biseptimavirus,Staphylococcus virus 13
k127_919773,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Staphylococcus phage StB12
k127_12056560,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Uncultured Caudovirales phage
k127_13773139,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Clostridium phage phiCD6356
k127_3929771,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales
k127_922861,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Ceduovirus,Lactococcus phage vB_Llc_bIBB27
k127_3061427,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales
k127_9920545,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Uncultured Caudovirales phage
k127_12914439,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae
k127_10783708,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Phietavirus,Staphylococcus virus IPLA7
k127_2212318,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae
k127_6931245,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae
k127_926064,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Phietavirus,Staphylococcus virus IPLA5
k127_4785501,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Unclassified Myoviridae,Unclassified Myoviridae,Fusobacterium phage Funu1
k127_3508018,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales
k127_7787099,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Unclassified Myoviridae,Unclassified Myoviridae,Unclassified Myoviridae
k127_5638746,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Sextaecvirus,Staphylococcus virus SEP9
k127_3938897,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Uncultured Caudovirales phage
k127_7788412,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Rakietenvirinae,Rosenblumvirus,Staphylococcus phage CSA13
k127_4788729,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Uncultured Caudovirales phage
k127_7792114,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae
k127_9935101,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Twortvirinae,Sepunavirus,Staphylococcus virus SEP1
k127_6073355,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Uncultured Caudovirales phage
k127_12075051,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Staphylococcus phage IME-SA4
k127_10373785,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Uncultured Caudovirales phage
k127_1788076,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Pahexavirus,Propionibacterium virus PAD20
k127_6945041,Viruses,Duplodnaviria,Unclassified Duplodnaviria,Unclassified Duplodnaviria,Unclassified Duplodnaviria,Unclassified Duplodnaviria,Unclassified Duplodnaviria,Unclassified Duplodnaviria,Unclassified Duplodnaviria,Staphylococcus phage PT1028
k127_71913,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Uncultured Caudovirales phage
k127_4800338,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Unclassified Myoviridae,Unclassified Myoviridae,Staphylococcus phage MarsHill
k127_12503208,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Phietavirus,Staphylococcus virus CNPH82
k127_75012,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Phietavirus,Staphylococcus virus IPLA5
k127_5226092,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Unclassified Myoviridae,Unclassified Myoviridae,Aeromonas phage D3
k127_512124,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Sextaecvirus,Staphylococcus virus Sextaec
k127_12506319,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Staphylococcus phage IME1318_01
k127_5656132,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Uncultured Caudovirales phage
k127_512745,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales
k127_9084036,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Staphylococcus phage IME-SA4
k127_1376859,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Lactococcus phage 1706
k127_5656618,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales
k127_3957157,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Twortvirinae,Twortvirus,Staphylococcus virus Twort
k127_11665030,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Uncultured Caudovirales phage
k127_3085643,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales
k127_2661048,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Uncultured Caudovirales phage
k127_11666778,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Unclassified Caudovirales,Uncultured Caudovirales phage
k127_6517612,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Twortvirinae,Sepunavirus,Staphylococcus phage Twillingate
k127_12091657,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Phietavirus,Staphylococcus phage IME1348_01
k127_12093476,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae
k127_3533238,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Rakietenvirinae,Rosenblumvirus,Staphylococcus phage LSA2366
k127_11241948,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Staphylococcus phage IME-SA4
k127_520373,Viruses,Duplodnaviria,Unclassified Duplodnaviria,Unclassified Duplodnaviria,Unclassified Duplodnaviria,Unclassified Duplodnaviria,Caulimoviridae,Unclassified Caulimoviridae,Unclassified Caulimoviridae,Unclassified Caulimoviridae
k127_13814525,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae,Unclassified Siphoviridae
