Sequence_ID	Order	Percent_of_votes	Family	Percent_of_votes
k127_12304471	Caudovirales	100	Siphoviridae	100
k127_1232635	Caudovirales	100	Podoviridae	100
k127_12430940	Caudovirales	100	Unassigned	100
k127_12503208	Caudovirales	100	Siphoviridae	100
k127_12506319	Caudovirales	100	Siphoviridae	100
k127_12521968	Caudovirales	100	Myoviridae	100
k127_12552153	Caudovirales	100	Siphoviridae	100
k127_12557539	no_order_Mimiviridae	100	Mimiviridae	100
k127_12590614	Caudovirales	100	Myoviridae	100
k127_12665165	Caudovirales	100	Siphoviridae	100
k127_1267235	no_order_Circoviridae	100	Circoviridae	100
k127_12820123	no_order_Circoviridae	100	Circoviridae	100
k127_12820974	Caudovirales	100	Myoviridae	50
k127_1286291	no_order_Microviridae	100	Microviridae	100
k127_1287076	Caudovirales	100	Siphoviridae	100
k127_1288113	Caudovirales	100	Myoviridae	100
k127_1289741	no_order_Genomoviridae	100	Genomoviridae	100
k127_12912531	Caudovirales	50	Myoviridae	50
k127_12914439	Caudovirales	100	Siphoviridae	100
k127_12961234	Caudovirales	100	Siphoviridae	100
k127_12998872	Caudovirales	100	Siphoviridae	100
k127_13093098	Caudovirales	100	Siphoviridae	100
k127_13121994	Caudovirales	100	Myoviridae	100
k127_13152430	Caudovirales	100	Unassigned	100
k127_131797	Caudovirales	50	Unassigned	NA
k127_13198058	Caudovirales	100	Siphoviridae	100
k127_13228705	Caudovirales	100	Myoviridae	100
k127_13269207	Caudovirales	100	Siphoviridae	100
k127_13273245	Caudovirales	100	Siphoviridae	100
k127_13275181	no_order_Papillomaviridae	100	Papillomaviridae	100
k127_13288337	Caudovirales	100	Siphoviridae	100
k127_13327097	Caudovirales	33.3333333333333	Siphoviridae	30.7692307692308
k127_13335670	Caudovirales	100	Siphoviridae	100
k127_13354341	Caudovirales	100	Siphoviridae	100
k127_1338554	no_order_Caulimoviridae	100	Caulimoviridae	100
k127_13395409	Caudovirales	100	Siphoviridae	100
k127_13408747	Caudovirales	100	Myoviridae	100
k127_13426390	Caudovirales	100	Myoviridae	42.8571428571429
k127_13466587	Caudovirales	100	Siphoviridae	100
k127_13587	Caudovirales	100	Siphoviridae	66.6666666666667
k127_13600781	no_order_Genomoviridae	100	Genomoviridae	100
k127_13609071	Caudovirales	100	Siphoviridae	100
k127_13618760	Caudovirales	100	Siphoviridae	100
k127_13651728	Caudovirales	50	Siphoviridae	60
k127_13663267	Caudovirales	100	Siphoviridae	100
k127_13700756	Caudovirales	100	Podoviridae	100
k127_13701522	no_order_Caulimoviridae	100	Caulimoviridae	100
k127_13754931	Caudovirales	100	Siphoviridae	100
k127_13755897	Caudovirales	100	Siphoviridae	88.8888888888889
k127_1376859	Caudovirales	100	Siphoviridae	100
k127_13807096	no_order_Caulimoviridae	100	Caulimoviridae	100
k127_13814525	Caudovirales	100	Siphoviridae	66.6666666666667
k127_13822734	Caudovirales	100	Unassigned	NA
k127_13851633	Caudovirales	100	Siphoviridae	100
k127_13854428	Caudovirales	100	Podoviridae	100
k127_13871763	Caudovirales	100	Siphoviridae	75
k127_13905426	Caudovirales	100	Siphoviridae	100
k127_13913675	Caudovirales	50	Siphoviridae	50
k127_14007062	Caudovirales	100	Siphoviridae	70
k127_1412654	no_order_Inoviridae	75	Inoviridae	50
k127_14143811	Caudovirales	100	Unassigned	NA
k127_1415522	Caudovirales	100	Myoviridae	50
k127_14179413	no_order_Caulimoviridae	100	Caulimoviridae	100
k127_14215166	no_order_Caulimoviridae	100	Caulimoviridae	100
k127_14257965	Caudovirales	100	Siphoviridae	100
k127_14262086	Caudovirales	100	Myoviridae	50
k127_14306111	Caudovirales	100	Siphoviridae	100
k127_14371031	Caudovirales	100	Siphoviridae	100
k127_14402709	Caudovirales	100	Podoviridae	100
k127_14489603	Caudovirales	100	Siphoviridae	100
k127_14546302	Caudovirales	100	Siphoviridae	100
k127_1462575	Caudovirales	100	Myoviridae	100
k127_14737428	Caudovirales	100	Unassigned	NA
k127_14763193	Caudovirales	100	Podoviridae	50
k127_1482335	Caudovirales	100	Siphoviridae	100
k127_1486340	Caudovirales	100	Podoviridae	100
k127_148682	no_order_Pithoviridae	100	Pithoviridae	100
k127_14903927	Caudovirales	100	Siphoviridae	100
k127_14905065	Caudovirales	100	Myoviridae	100
k127_14917650	no_order_Circoviridae	100	Circoviridae	100
k127_14987314	Caudovirales	100	Siphoviridae	100
k127_14992458	Caudovirales	100	Siphoviridae	100
k127_1501068	Caudovirales	100	Myoviridae	100
k127_1504499	Caudovirales	100	Myoviridae	50
k127_15098512	no_order_Genomoviridae	100	Genomoviridae	100
k127_15098564	no_order_Genomoviridae	100	Genomoviridae	100
k127_15098712	no_order_Microviridae	100	Microviridae	100
k127_15100431	no_order_Circoviridae	100	Circoviridae	100
k127_15100462	Caudovirales	100	Unassigned	NA
k127_15100802	no_order_Microviridae	100	Microviridae	100
k127_15101358	Caudovirales	100	Unassigned	NA
k127_15101499	no_order_Genomoviridae	100	Genomoviridae	100
k127_15101648	no_order_Genomoviridae	100	Genomoviridae	100
k127_15101768	no_order_Microviridae	100	Microviridae	100
k127_15102282	no_order_Polyomaviridae	100	Polyomaviridae	100
k127_15102296	no_order_Genomoviridae	100	Genomoviridae	100
k127_15102452	no_order_Circoviridae	100	Circoviridae	100
k127_15102971	no_order_Microviridae	100	Microviridae	100
k127_15103088	no_order_Circoviridae	100	Circoviridae	100
k127_15103156	no_order_Microviridae	100	Microviridae	100
k127_15104370	no_order_Microviridae	100	Microviridae	100
k127_15106786	no_order_Marseilleviridae	100	Marseilleviridae	100
k127_15106847	no_order_Genomoviridae	100	Genomoviridae	100
k127_15110492	no_order_Circoviridae	100	Circoviridae	100
k127_15110753	Caudovirales	100	Siphoviridae	100
k127_15110769	no_order_Genomoviridae	100	Genomoviridae	100
k127_15112301	no_order_Genomoviridae	66.6666666666667	Genomoviridae	66.6666666666667
k127_15112600	no_order_Microviridae	100	Microviridae	100
k127_15113042	no_order_Microviridae	100	Microviridae	100
k127_15113788	no_order_Circoviridae	100	Circoviridae	100
k127_15114101	Caudovirales	100	Myoviridae	100
k127_15116196	Caudovirales	100	Siphoviridae	100
k127_15117075	no_order_Circoviridae	100	Circoviridae	100
k127_15117214	Caudovirales	100	Myoviridae	100
k127_15118187	no_order_Circoviridae	100	Circoviridae	100
k127_15119273	no_order_Mimiviridae	100	Mimiviridae	100
k127_15122284	no_order_Genomoviridae	75	Genomoviridae	75
k127_15125803	no_order_Genomoviridae	100	Genomoviridae	100
k127_15128662	no_order_Circoviridae	100	Circoviridae	100
k127_15133548	no_order_Circoviridae	100	Circoviridae	100
k127_15137666	Caudovirales	100	Unassigned	NA
k127_15141011	no_order_Genomoviridae	100	Genomoviridae	100
k127_15141671	no_order_Microviridae	100	Microviridae	100
k127_15149486	no_order_Genomoviridae	100	Genomoviridae	100
k127_15149568	no_order_Genomoviridae	100	Genomoviridae	100
k127_15149676	no_order_Circoviridae	100	Circoviridae	100
k127_15150892	no_order_Genomoviridae	100	Genomoviridae	100
k127_15158270	no_order_Genomoviridae	100	Genomoviridae	100
k127_15159925	no_order_Genomoviridae	100	Genomoviridae	100
k127_15164274	Caudovirales	100	Unassigned	NA
k127_15172276	no_order_Inoviridae	100	Inoviridae	100
k127_15172404	no_order_Circoviridae	100	Circoviridae	100
k127_15178151	no_order_Microviridae	100	Microviridae	100
k127_15184026	Caudovirales	100	Siphoviridae	100
k127_15187784	no_order_Genomoviridae	100	Genomoviridae	100
k127_1536090	Caudovirales	46.1538461538462	Siphoviridae	37.5
k127_1542498	Caudovirales	100	Unassigned	NA
k127_1545496	Caudovirales	100	Siphoviridae	100
k127_1552771	no_order_Phycodnaviridae	75	Phycodnaviridae	75
k127_1571962	Caudovirales	100	Unassigned	NA
k127_1599939	Caudovirales	100	Podoviridae	100
k127_1600222	Caudovirales	100	Myoviridae	100
k127_1600526	Caudovirales	100	Siphoviridae	100
k127_1617241	Caudovirales	100	Myoviridae	100
k127_1626601	Caudovirales	100	Unassigned	NA
k127_1634769	Caudovirales	100	Siphoviridae	100
k127_1716052	no_order_Microviridae	100	Microviridae	100
k127_1716739	Caudovirales	100	Siphoviridae	100
k127_1743349	Caudovirales	100	Siphoviridae	100
k127_1747547	no_order_Caulimoviridae	100	Caulimoviridae	100
k127_176201	Caudovirales	100	Unassigned	NA
k127_1765778	no_order_Genomoviridae	100	Genomoviridae	100
k127_1788076	Caudovirales	100	Siphoviridae	100
k127_179169	Caudovirales	100	Unassigned	NA
k127_1825182	no_order_Caulimoviridae	100	Caulimoviridae	100
k127_1850527	Caudovirales	100	Siphoviridae	66.6666666666667
k127_1852575	Caudovirales	50	Podoviridae	35.7142857142857
k127_1869690	no_order_Circoviridae	100	Circoviridae	100
k127_1871712	Caudovirales	100	Siphoviridae	100
k127_1877333	Caudovirales	100	Myoviridae	100
k127_187894	Caudovirales	100	Unassigned	NA
k127_1899341	Caudovirales	100	Siphoviridae	83.3333333333333
k127_1910090	Caudovirales	100	Siphoviridae	100
k127_1926553	Caudovirales	100	Siphoviridae	100
k127_1941336	Caudovirales	100	Myoviridae	100
k127_2021333	Caudovirales	100	Siphoviridae	100
k127_2032802	Caudovirales	50	Siphoviridae	75
k127_2105829	Caudovirales	100	Siphoviridae	100
k127_2113073	no_order_Genomoviridae	100	Genomoviridae	100
k127_2116283	Caudovirales	100	Siphoviridae	100
k127_2117529	Caudovirales	100	Siphoviridae	100
k127_2117578	Caudovirales	100	Siphoviridae	100
k127_2129461	Caudovirales	100	Siphoviridae	100
k127_2138768	no_order_Circoviridae	100	Circoviridae	100
k127_2139191	Caudovirales	100	Unassigned	NA
k127_2150348	Caudovirales	100	Siphoviridae	100
k127_2157703	Caudovirales	100	Siphoviridae	66.6666666666667
k127_2176764	Caudovirales	100	Siphoviridae	87.5
k127_2203819	Caudovirales	100	Siphoviridae	100
k127_2212318	Caudovirales	100	Siphoviridae	100
k127_2240432	no_order_Phycodnaviridae	100	Phycodnaviridae	100
k127_2241666	Caudovirales	100	Siphoviridae	100
k127_2289444	Caudovirales	100	Myoviridae	100
k127_2333519	Caudovirales	100	Unassigned	NA
k127_2379598	Caudovirales	100	Myoviridae	100
k127_2391413	Caudovirales	100	Myoviridae	50
k127_2446219	Caudovirales	100	Siphoviridae	66.6666666666667
k127_2448067	Caudovirales	100	Siphoviridae	100
k127_2449611	Caudovirales	100	Siphoviridae	100
k127_2477942	Caudovirales	100	Siphoviridae	100
k127_2484376	Caudovirales	100	Siphoviridae	100
k127_2499858	Caudovirales	100	Myoviridae	50
k127_2519712	no_order_Caulimoviridae	100	Caulimoviridae	100
k127_2528571	Caudovirales	100	Siphoviridae	100
k127_2529763	no_order_Papillomaviridae	100	Papillomaviridae	100
k127_2554829	Caudovirales	100	Unassigned	NA
k127_2588255	Caudovirales	50	Myoviridae	42.8571428571429
k127_2592458	Caudovirales	100	Siphoviridae	100
k127_2597079	Caudovirales	100	Siphoviridae	80
k127_2661048	Caudovirales	100	Siphoviridae	100
k127_2691772	Caudovirales	100	Siphoviridae	100
k127_2830083	Caudovirales	100	Podoviridae	100
k127_2872208	Caudovirales	100	Siphoviridae	71.4285714285714
k127_2873237	Caudovirales	100	Unassigned	NA
k127_2885274	Caudovirales	100	Siphoviridae	100
k127_291899	Caudovirales	100	Myoviridae	50
k127_2928076	Caudovirales	100	Siphoviridae	100
k127_2947906	Caudovirales	100	Siphoviridae	100
k127_2955620	Caudovirales	100	Myoviridae	100
k127_2966998	no_order_Circoviridae	100	Circoviridae	100
k127_2971694	no_order_Papillomaviridae	100	Papillomaviridae	100
k127_2974301	Caudovirales	100	Siphoviridae	100
k127_3021637	Caudovirales	100	Siphoviridae	66.6666666666667
k127_3025290	no_order_Caulimoviridae	100	Caulimoviridae	100
k127_3027410	Caudovirales	100	Siphoviridae	100
k127_3050672	no_order_Baculoviridae	100	Baculoviridae	100
k127_3085643	Caudovirales	100	Unassigned	NA
k127_3100742	Caudovirales	100	Siphoviridae	100
k127_3126920	no_order_Baculoviridae	100	Baculoviridae	100
k127_3127356	no_order_Genomoviridae	100	Genomoviridae	100
k127_312949	Caudovirales	100	Siphoviridae	100
k127_3143990	Caudovirales	100	Siphoviridae	100
k127_3146033	Caudovirales	100	Siphoviridae	100
k127_3148196	Caudovirales	100	Siphoviridae	100
k127_3173417	Caudovirales	100	Podoviridae	100
k127_3188219	Caudovirales	100	Siphoviridae	100
k127_3220770	Caudovirales	100	Myoviridae	50
k127_3259586	Caudovirales	100	Siphoviridae	100
k127_3287289	no_order_Genomoviridae	100	Genomoviridae	100
k127_3389481	Caudovirales	100	Myoviridae	100
k127_3398430	no_order_Genomoviridae	100	Genomoviridae	100
k127_3406154	Caudovirales	100	Unassigned	NA
k127_3443230	Caudovirales	100	Myoviridae	100
k127_3462963	Caudovirales	100	Siphoviridae	100
k127_3483275	Caudovirales	100	Podoviridae	100
k127_3508018	Caudovirales	100	Unassigned	40
k127_3510775	no_order_Baculoviridae	50	Baculoviridae	50
k127_3533238	Caudovirales	100	Podoviridae	100
k127_3548102	no_order_Caulimoviridae	100	Caulimoviridae	100
k127_3570579	Caudovirales	100	Siphoviridae	60
k127_3611666	Caudovirales	100	Siphoviridae	88.8888888888889
k127_3612048	no_order_Phycodnaviridae	44.4444444444444	Phycodnaviridae	33.3333333333333
k127_3615442	Caudovirales	100	Siphoviridae	72.7272727272727
k127_3638311	Caudovirales	100	Myoviridae	50
k127_36540	Caudovirales	100	Siphoviridae	100
k127_3658080	Caudovirales	100	Podoviridae	66.6666666666667
k127_3693722	Caudovirales	50	Podoviridae	40
k127_3701988	Caudovirales	100	Siphoviridae	100
k127_3777918	Caudovirales	100	Siphoviridae	100
k127_3826390	no_order_Microviridae	100	Microviridae	100
k127_3862788	no_order_Circoviridae	100	Circoviridae	100
k127_3927309	Caudovirales	100	Siphoviridae	100
k127_3929771	Caudovirales	50	Unassigned	NA
k127_3938897	Caudovirales	100	Siphoviridae	87.5
k127_3957157	Caudovirales	100	Myoviridae	100
k127_4014665	Caudovirales	100	Siphoviridae	100
k127_4040380	Caudovirales	100	Unassigned	NA
k127_40423	Caudovirales	100	Siphoviridae	100
k127_404407	Caudovirales	100	Siphoviridae	100
k127_4109192	Caudovirales	100	Siphoviridae	100
k127_4120085	Caudovirales	100	Myoviridae	100
k127_415721	Caudovirales	100	Siphoviridae	100
k127_419699	no_order_Circoviridae	100	Circoviridae	100
k127_4197540	Caudovirales	100	Myoviridae	100
k127_4219676	Caudovirales	100	Myoviridae	100
k127_422700	Caudovirales	100	Unassigned	NA
k127_423639	Caudovirales	100	Siphoviridae	100
k127_4258427	Caudovirales	100	Siphoviridae	100
k127_4292527	Caudovirales	100	Siphoviridae	100
k127_4304055	Caudovirales	100	Siphoviridae	100
k127_431467	no_order_Genomoviridae	100	Genomoviridae	100
k127_4343909	Caudovirales	100	Siphoviridae	100
k127_4355176	Caudovirales	100	Siphoviridae	100
k127_4394179	no_order_Microviridae	100	Microviridae	100
k127_4402641	Caudovirales	100	Siphoviridae	100
k127_4416546	Caudovirales	100	Podoviridae	100
k127_4435948	Caudovirales	100	Podoviridae	100
k127_446110	Caudovirales	100	Myoviridae	100
k127_446891	Caudovirales	50	Siphoviridae	60
k127_4484884	Caudovirales	100	Unassigned	NA
k127_4490021	Caudovirales	100	Myoviridae	100
k127_4502897	Caudovirales	100	Siphoviridae	66.6666666666667
k127_453792	Caudovirales	100	Unassigned	NA
k127_4541904	Caudovirales	100	Myoviridae	100
k127_4548637	no_order_Retroviridae	100	Retroviridae	100
k127_4561317	Caudovirales	100	Myoviridae	100
k127_4575820	Caudovirales	100	Siphoviridae	75
k127_4672573	no_order_Genomoviridae	100	Genomoviridae	100
k127_47006	Caudovirales	100	Podoviridae	100
k127_4725986	no_order_Caulimoviridae	100	Caulimoviridae	100
k127_4738504	Caudovirales	100	Siphoviridae	75
k127_474075	no_order_Caulimoviridae	100	Caulimoviridae	100
k127_4785501	Caudovirales	100	Unassigned	NA
k127_479019	Caudovirales	100	Myoviridae	50
k127_479928	Caudovirales	100	Unassigned	NA
k127_4800338	Caudovirales	100	Myoviridae	50
k127_4818855	Caudovirales	100	Siphoviridae	100
k127_4845294	Caudovirales	100	Myoviridae	100
k127_4849137	Caudovirales	100	Myoviridae	100
k127_4874812	Caudovirales	100	Myoviridae	100
k127_4903990	no_order_Circoviridae	100	Circoviridae	100
k127_4960987	Caudovirales	100	Siphoviridae	100
k127_5067551	Caudovirales	100	Siphoviridae	100
k127_5070680	no_order_Microviridae	100	Microviridae	100
k127_512124	Caudovirales	100	Siphoviridae	83.3333333333333
k127_512745	Caudovirales	100	Unassigned	NA
k127_5149369	Caudovirales	100	Unassigned	NA
k127_5155610	Caudovirales	100	Siphoviridae	100
k127_5167985	no_order_Papillomaviridae	100	Papillomaviridae	100
k127_5169055	Caudovirales	100	Siphoviridae	100
k127_5178503	Caudovirales	100	Siphoviridae	100
k127_520373	no_order_Caulimoviridae	100	Caulimoviridae	100
k127_521280	Caudovirales	100	Siphoviridae	100
k127_5215310	no_order_Inoviridae	80	Inoviridae	80
k127_5221332	Caudovirales	50	Siphoviridae	75
k127_5238188	Caudovirales	100	Myoviridae	50
k127_5280221	Caudovirales	100	Siphoviridae	100
k127_5328793	Caudovirales	100	Siphoviridae	100
k127_5334941	Caudovirales	100	Myoviridae	100
k127_5366206	Caudovirales	100	Siphoviridae	100
k127_5370892	Caudovirales	100	Siphoviridae	100
k127_5376915	Caudovirales	100	Myoviridae	100
k127_5427924	Caudovirales	100	Myoviridae	100
k127_5429551	Caudovirales	100	Unassigned	NA
k127_5434364	Caudovirales	100	Unassigned	NA
k127_544770	Caudovirales	100	Myoviridae	40
k127_5476457	Caudovirales	100	Myoviridae	100
k127_5498481	Caudovirales	100	Unassigned	NA
k127_5508447	Caudovirales	100	Unassigned	NA
k127_5517317	no_order_Anelloviridae	100	Anelloviridae	100
k127_5555537	Caudovirales	100	Siphoviridae	100
k127_5591535	Caudovirales	100	Unassigned	NA
k127_5600450	Caudovirales	100	Siphoviridae	100
k127_5618837	Caudovirales	100	Myoviridae	100
k127_5632121	no_order_Caulimoviridae	100	Caulimoviridae	100
k127_5647099	no_order_Caulimoviridae	40	Caulimoviridae	40
k127_5656132	Caudovirales	100	Siphoviridae	100
k127_568933	Caudovirales	50	Myoviridae	44.4444444444444
k127_5694914	no_order_Papillomaviridae	100	Papillomaviridae	100
k127_573359	Caudovirales	100	Podoviridae	100
k127_5742330	Caudovirales	100	Unassigned	NA
k127_578566	Caudovirales	100	Siphoviridae	66.6666666666667
k127_5786516	Caudovirales	100	Unassigned	NA
k127_5791511	no_order_Genomoviridae	100	Genomoviridae	100
k127_5846858	Caudovirales	100	Myoviridae	100
k127_5897	Caudovirales	100	Siphoviridae	100
k127_5958394	Caudovirales	100	Siphoviridae	100
k127_5990360	no_order_Caulimoviridae	100	Caulimoviridae	100
k127_5995272	Caudovirales	100	Siphoviridae	100
k127_6008323	Caudovirales	100	Siphoviridae	100
k127_6011723	Caudovirales	100	Siphoviridae	50
k127_6015792	Caudovirales	100	Siphoviridae	100
k127_602007	Caudovirales	100	Myoviridae	100
k127_6024987	Caudovirales	100	Myoviridae	100
k127_6059428	Caudovirales	100	Siphoviridae	100
k127_6073355	Caudovirales	100	Siphoviridae	100
k127_6073437	Caudovirales	100	Siphoviridae	100
k127_6092337	Caudovirales	100	Siphoviridae	100
k127_615658	no_order_Papillomaviridae	100	Papillomaviridae	100
k127_6244733	no_order_Caulimoviridae	100	Caulimoviridae	100
k127_6246359	Caudovirales	100	Siphoviridae	100
k127_6297779	Caudovirales	100	Siphoviridae	100
k127_6348010	Caudovirales	100	Podoviridae	50
k127_6358564	Caudovirales	100	Siphoviridae	100
k127_6385147	Caudovirales	100	Podoviridae	100
k127_6386011	Caudovirales	100	Siphoviridae	100
k127_6427718	Caudovirales	100	Siphoviridae	80
k127_6473642	no_order_Baculoviridae	100	Baculoviridae	100
k127_648136	Caudovirales	100	Siphoviridae	100
k127_6481697	Caudovirales	100	Siphoviridae	100
k127_6517612	Caudovirales	100	Myoviridae	100
k127_654357	Caudovirales	100	Siphoviridae	100
k127_6547576	Caudovirales	100	Myoviridae	50
k127_6566989	Caudovirales	100	Myoviridae	100
k127_6576927	Caudovirales	100	Siphoviridae	100
k127_6587927	Caudovirales	100	Siphoviridae	100
k127_6591742	no_order_Circoviridae	100	Circoviridae	100
k127_6666070	Caudovirales	50	Unassigned	NA
k127_670688	Caudovirales	100	Siphoviridae	100
k127_671146	no_order_Genomoviridae	100	Genomoviridae	100
k127_6737478	no_order_Mimiviridae	100	Mimiviridae	100
k127_6780509	no_order_Papillomaviridae	100	Papillomaviridae	100
k127_6780622	no_order_Papillomaviridae	100	Papillomaviridae	100
k127_6824741	Caudovirales	100	Siphoviridae	100
k127_6829224	Caudovirales	100	Siphoviridae	100
k127_6931245	Caudovirales	100	Siphoviridae	100
k127_6989642	no_order_Retroviridae	66.6666666666667	Retroviridae	66.6666666666667
k127_7112162	Caudovirales	100	Myoviridae	100
k127_7119894	Caudovirales	100	Siphoviridae	100
k127_7150164	Caudovirales	100	Unassigned	NA
k127_7187071	no_order_Caulimoviridae	100	Caulimoviridae	100
k127_71913	Caudovirales	100	Siphoviridae	100
k127_720290	Caudovirales	100	Myoviridae	50
k127_730734	Caudovirales	100	Siphoviridae	66.6666666666667
k127_7317064	Caudovirales	100	Unassigned	NA
k127_7325932	Caudovirales	100	Siphoviridae	100
k127_7392698	Caudovirales	100	Unassigned	NA
k127_7440870	Caudovirales	100	Siphoviridae	100
k127_7452931	Caudovirales	100	Siphoviridae	100
k127_7477202	Caudovirales	100	Unassigned	NA
k127_75012	Caudovirales	100	Siphoviridae	100
k127_7507424	Caudovirales	100	Podoviridae	50
k127_751367	Caudovirales	100	Siphoviridae	100
k127_757843	Caudovirales	100	Myoviridae	100
k127_7617932	no_order_Caulimoviridae	100	Caulimoviridae	100
k127_7635908	Caudovirales	100	Siphoviridae	100
k127_7647527	Caudovirales	100	Siphoviridae	100
k127_7660872	Caudovirales	100	Siphoviridae	100
k127_7700602	no_order_Microviridae	100	Microviridae	100
k127_7749933	Caudovirales	100	Podoviridae	50
k127_7760262	Caudovirales	100	Siphoviridae	100
k127_7774383	Caudovirales	100	Myoviridae	50
k127_7787099	Caudovirales	100	Myoviridae	100
k127_7788412	Caudovirales	100	Podoviridae	100
k127_7792114	Caudovirales	100	Siphoviridae	100
k127_7813264	Caudovirales	100	Unassigned	100
k127_7828382	Caudovirales	100	Siphoviridae	100
k127_783007	no_order_Caulimoviridae	100	Caulimoviridae	100
k127_7860232	Caudovirales	100	Siphoviridae	100
k127_7885927	Caudovirales	100	Siphoviridae	100
k127_7917816	Caudovirales	100	Siphoviridae	80
k127_8059507	Caudovirales	100	Siphoviridae	54.5454545454545
k127_8062024	Caudovirales	100	Myoviridae	100
k127_807185	Caudovirales	100	Myoviridae	50
k127_8086034	Caudovirales	100	Podoviridae	100
k127_8142896	Caudovirales	100	Siphoviridae	100
k127_8149250	no_order_Genomoviridae	100	Genomoviridae	100
k127_8204835	no_order_Caulimoviridae	100	Caulimoviridae	100
k127_8241067	no_order_Genomoviridae	100	Genomoviridae	100
k127_8270872	Caudovirales	100	Siphoviridae	100
k127_8318679	Caudovirales	100	Unassigned	NA
k127_8341249	Caudovirales	100	Siphoviridae	100
k127_8391121	no_order_Baculoviridae	50	Baculoviridae	50
k127_8408019	Caudovirales	100	Siphoviridae	100
k127_8498989	Caudovirales	100	Podoviridae	50
k127_8506581	Caudovirales	100	Siphoviridae	100
k127_8517654	Caudovirales	100	Siphoviridae	100
k127_85717	Caudovirales	100	Siphoviridae	100
k127_8579181	Caudovirales	100	Myoviridae	100
k127_8632314	no_order_Circoviridae	100	Circoviridae	100
